source_device,tweet_language,avg_favorites,avg_hashtag_count
"<a href=\"http://www.socialnewsdesk.com\" rel=\"nofollow\">SocialNewsDesk</a>",en,0.7714285714285715,0.02857142857142857
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",tl,0.7333333333333333,0.13333333333333333
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",it,0.7184466019417476,0.2912621359223301
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",in,0.6923076923076923,0.3516483516483517
"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>",it,0.6923076923076923,0.34615384615384615
"<a href=\"https://buffer.com\" rel=\"nofollow\">Buffer</a>",es,0.6666666666666666,3.0
"<a href=\"https://app.agorapulse.com\" rel=\"nofollow\">Agorapulse app</a>",en,0.6666666666666666,0.6666666666666666
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",fa,0.6666666666666666,1.1666666666666667
"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>",es,0.6428571428571429,1.2142857142857142
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",sv,0.6428571428571429,0.21428571428571427
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",fi,0.625,0.125
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",ja,0.6071428571428571,0.07142857142857142
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",und,0.6046511627906976,0.5271317829457365
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",it,0.6040955631399317,0.5938566552901023
"<a href=\"http://twittbot.net/\" rel=\"nofollow\">twittbot.net</a>",ja,0.6,0.2
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",pt,0.5535071942446043,0.03282374100719424
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",hi,0.55,0.35
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",it,0.5405405405405406,0.918918918918919
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",pt,0.5273972602739726,0.02968036529680365
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",es,0.5223880597014925,0.07462686567164178
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",und,0.5146443514644351,1.1255230125523012
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",fr,0.513283378746594,0.15361035422343325
"<a href=\"https://mobilemarketer.pro\" rel=\"nofollow\">VPNewFeatures</a>",es,0.5,2.0
"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>",en,0.5,0.8333333333333334
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",ar,0.5,3.5
"<a href=\"https://www.blog2social.com\" rel=\"nofollow\">Blog2Social APP</a>",de,0.5,4.0
"<a href=\"https://www.loomly.com/\" rel=\"nofollow\">Loomly</a>",es,0.5,2.5
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",ca,0.5,0.3333333333333333
"<a href=\"http://www.powerapps.com\" rel=\"nofollow\">Microsoft Power Platform</a>",fr,0.5,0.5
"<a href=\"https://www.blog2social.com\" rel=\"nofollow\">Blog2Social APP</a>",und,0.5,1.5
"<a href=\"https://smarterqueue.com\" rel=\"nofollow\">SmarterQueue</a>",en,0.5,1.0
"<a href=\"https://www.socialgest.net\" rel=\"nofollow\">SocialGest</a>",es,0.5,0.5
"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>",ja,0.5,3.0
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",in,0.4810126582278481,0.12658227848101267
"<a href=\"http://besocy.com\" rel=\"nofollow\">Besocy_Oficial</a>",es,0.4666666666666667,0.26666666666666666
"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>",en,0.45454545454545453,0.8484848484848485
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",en,0.4535667396061269,0.12962800875273522
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",en,0.44871794871794873,0.08653846153846154
"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",el,0.4375,0.6875
"<a href=\"https://social.zoho.com\" rel=\"nofollow\">Zoho Social</a>",en,0.4,2.0
"<a href=\"https://www.meltwater.com/\" rel=\"nofollow\">Meltwater Social</a>",en,0.4,3.2
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",nl,0.4,0.08571428571428572
"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>",it,0.375,0.9166666666666666
"<a href=\"http://publicize.wp.com/\" rel=\"nofollow\">Jetpack.com</a>",es,0.36363636363636365,0.36363636363636365
"<a href=\"http://etus.com.br\" rel=\"nofollow\">Etus Brasil</a>",pt,0.3333333333333333,3.0
"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>",fr,0.3333333333333333,1.6666666666666667
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",ja,0.3333333333333333,0.19923371647509577
"<a href=\"https://pandemicpatients.org\" rel=\"nofollow\">LongCOVIDResearch</a>",en,0.3333333333333333,2.0
"<a href=\"http://tweepsmap.com\" rel=\"nofollow\">Tweepsmap</a>",en,0.3333333333333333,0.8333333333333334
"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",es,0.31076923076923074,0.1517948717948718
"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",es,0.30638297872340425,0.36295369211514394
"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",fr,0.296,0.232
