source,tweet_count
"<a href=\"http://www.republika.co.id\" rel=\"nofollow\">roltweet</a>",1
"<a href=\"https://bitly.com/\" rel=\"nofollow\">Bitly</a>",1
"<a href=\"http://urls.fr/\" rel=\"nofollow\">URLs_fr</a>",1
"<a href=\"https://substack.com/\" rel=\"nofollow\">Substack</a>",1
"<a href=\"https://noticiasdeldf.com\" rel=\"nofollow\">NoticiasdelDF</a>",1
"<a href=\"http://twinybots.com\" rel=\"nofollow\">TwinyBots</a>",1
"<a href=\"https://bitcoinbagri.in/\" rel=\"nofollow\">scial 1</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">so_cal_jobs_bot_v2</a>",1
"<a href=\"https://bitcoinbagri.in\" rel=\"nofollow\">Auto bloging</a>",1
"<a href=\"http://abacus.universidadeuropea.es/\" rel=\"nofollow\">UE DSpace</a>",1
"<a href=\"http://static.xinhua-news.cn\" rel=\"nofollow\">app-xinhua-news-espanol</a>",1
"<a href=\"https://daryo.com\" rel=\"nofollow\">daryo.com</a>",1
"<a href=\"https://lifeboat.com\" rel=\"nofollow\">lifeboat.com</a>",1
"<a href=\"http://www.diarioya.com.ar \" rel=\"nofollow\">DiarioYaAR</a>",1
"<a href=\"http://radio3.io/\" rel=\"nofollow\">radio3.io</a>",1
"<a href=\"http://www.example.com\" rel=\"nofollow\">JS EBOOKS</a>",1
"<a href=\"http://www.salvadordez.com.br\" rel=\"nofollow\">PortalSalvadorDez</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">boenbot</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">3kooba</a>",1
"<a href=\"https://airtime.pro\" rel=\"nofollow\">Airtime Pro</a>",1
"<a href=\"https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels\" rel=\"nofollow\">Konzidenz</a>",1
